feature,importance,fold
AMT_INCOME_TOTAL,1473,1
AMT_CREDIT,1812,1
AMT_ANNUITY,2391,1
AMT_GOODS_PRICE,1766,1
REGION_POPULATION_RELATIVE,2139,1
DAYS_BIRTH,3133,1
DAYS_EMPLOYED,3047,1
DAYS_REGISTRATION,3028,1
DAYS_ID_PUBLISH,2841,1
OWN_CAR_AGE,1246,1
HOUR_APPR_PROCESS_START,1074,1
EXT_SOURCE_1,3251,1
EXT_SOURCE_2,3790,1
EXT_SOURCE_3,3693,1
TOTALAREA_MODE,1043,1
DAYS_LAST_PHONE_CHANGE,2346,1
DAYS_EMPLOYED_PERC,2959,1
INCOME_CREDIT_PERC,2088,1
INCOME_PER_PERSON,1728,1
ANNUITY_INCOME_PERC,2337,1
PAYMENT_RATE,3697,1
BURO_DAYS_CREDIT_MIN,1100,1
BURO_DAYS_CREDIT_MAX,1605,1
BURO_DAYS_CREDIT_MEAN,1560,1
BURO_DAYS_CREDIT_VAR,1746,1
BURO_DAYS_CREDIT_ENDDATE_MIN,1268,1
BURO_DAYS_CREDIT_ENDDATE_MAX,1352,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,1447,1
BURO_DAYS_CREDIT_UPDATE_MEAN,1431,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,1526,1
BURO_AMT_CREDIT_SUM_MAX,1204,1
BURO_AMT_CREDIT_SUM_MEAN,1562,1
BURO_AMT_CREDIT_SUM_SUM,1374,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,1446,1
ACTIVE_DAYS_CREDIT_MIN,1282,1
ACTIVE_DAYS_CREDIT_MAX,1760,1
ACTIVE_DAYS_CREDIT_MEAN,1453,1
ACTIVE_DAYS_CREDIT_VAR,1631,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,2096,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,1533,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,1647,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,2300,1
ACTIVE_AMT_CREDIT_SUM_MAX,1252,1
ACTIVE_AMT_CREDIT_SUM_MEAN,1364,1
ACTIVE_AMT_CREDIT_SUM_SUM,1335,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1440,1
